왕상1:1 다윗왕이나이가많아늙으니이불을덮어도따뜻하지아니한지라
왕상2:18 밧세바가이르되좋다내가너를위하여왕께말하리라
왕상2:19 밧세바가이에아도니야를위하여말하려고솔로몬왕에게이르니왕이일어나영접하여절한후에다시왕좌에앉고그의어머니를위하여자리를베푸니그가그의오른쪽에앉는지라
왕상2:20 밧세바가이르되내가한가지작은일로왕께구하오니내청을거절하지마소서왕이대답하되내어머니여구하소서내가어머니의청을거절하지아니하리이다
왕상2:21 이르되청하건대수넴여자아비삭을아도니야에게주어아내로삼게하소서
왕상2:22 솔로몬왕이그의어머니에게대답하여이르되어찌하여아도니야를위하여수넴여자아비삭을구하시나이까그는나의형이오니그를위하여왕권도구하옵소서그뿐아니라제사장아비아달과스루야의아들요압을위해서도구하옵소서하고
왕상2:23 여호와를두고맹세하여이르되아도니야가이런말을하였은즉그의생명을잃지아니하면하나님은내게벌위에벌을내리심이마땅하니이다
왕상2:24 그러므로이제나를세워내아버지다윗의왕위에오르게하시고허락하신말씀대로나를위하여집을세우신여호와께서살아계심을두고맹세하노니아도니야는오늘죽임을당하리라하고
왕상2:25 여호야다의아들브나야를보내매그가아도니야를쳐서죽였더라
왕상2:26 왕이제사장아비아달에게이르되네고향아나돗으로가라너는마땅히죽을자이로되네가내아버지다윗앞에서주여호와의궤를메었고또내아버지가모든환난을받을때에너도환난을받았은즉내가오늘너를죽이지아니하노라하고
왕상2:27 아비아달을쫓아내어여호와의제사장직분을파면하니여호와께서실로에서엘리의집에대하여하신말씀을응하게함이더라
왕상2:28 그소문이요압에게들리매그가여호와의장막으로도망하여제단뿔을잡으니이는그가다윗을떠나압살롬을따르지아니하였으나아도니야를따랐음이더라
왕상2:29 어떤사람이솔로몬왕에게아뢰되요압이여호와의장막으로도망하여제단곁에있나이다솔로몬이여호야다의아들브나야를보내며이르되너는가서그를치라
왕상2:30 브나야가여호와의장막에이르러그에게이르되왕께서나오라하시느니라그가대답하되아니라내가여기서죽겠노라브나야가돌아가서왕께아뢰어이르되요압이이리이리내게대답하더이다
왕상2:31 왕이이르되그의말과같이하여그를죽여묻으라요압이까닭없이흘린피를나와내아버지의집에서네가제하리라
왕상2:32 여호와께서요압의피를그의머리로돌려보내실것은그가자기보다의롭고선한두사람을쳤음이니곧이스라엘군사령관넬의아들아브넬과유다군사령관예델의아들아마사를칼로죽였음이라이일을내아버지다윗은알지못하셨나니
왕상2:33 그들의피는영영히요압의머리와그의자손의머리로돌아갈지라도다윗과그의자손과그의집과그의왕위에는여호와께로말미암는평강이영원히있으리라
왕상2:34 여호야다의아들브나야가곧올라가서그를쳐죽이매그가광야에있는자기의집에매장되니라
왕상2:35 왕이이에여호야다의아들브나야를요압을대신하여군사령관으로삼고또제사장사독으로아비아달을대신하게하니라
왕상2:36 왕이사람을보내어시므이를불러서이르되너는예루살렘에서너를위하여집을짓고거기서살고어디든지나가지말라
왕상2:37 너는분명히알라네가나가서기드론시내를건너는날에는반드시죽임을당하리니네피가네머리로돌아가리라
왕상2:38 시므이가왕께대답하되이말씀이좋사오니내주왕의말씀대로종이그리하겠나이다하고이에날이오래도록예루살렘에머무니라
왕상2:39 삼년후에시므이의두종이가드왕마아가의아들아기스에게로도망하여간지라어떤사람이시므이에게말하여이르되당신의종이가드에있나이다
왕상2:40 시므이가그종을찾으려고일어나그의나귀에안장을지우고가드로가서아기스에게나아가그의종을가드에서데려왔더니
왕상2:41 시므이가예루살렘에서부터가드에갔다가돌아온일을어떤사람이솔로몬에게말한지라
왕상2:42 왕이사람을보내어시므이를불러서이르되내가너에게여호와를두고맹세하게하고경고하여이르기를너는분명히알라네가밖으로나가서어디든지가는날에는죽임을당하리라하지아니하였느냐너도내게말하기를내가들은말씀이좋으니이다하였거늘
왕상2:43 네가어찌하여여호와를두고한맹세와내가네게이른명령을지키지아니하였느냐
왕상2:44 왕이또시므이에게이르되네가네마음으로아는모든악곧내아버지에게행한바를네가스스로아나니여호와께서네악을네머리로돌려보내시리라
왕상2:45 그러나솔로몬왕은복을받고다윗의왕위는영원히여호와앞에서견고히서리라하고
왕상2:46 여호야다의아들브나야에게명령하매그가나가서시므이를치니그가죽은지라이에나라가솔로몬의손에견고하여지니라
왕상3:1 솔로몬이애굽의왕바로와더불어혼인관계를맺어그의딸을맞이하고다윗성에데려다가두고자기의왕궁과여호와의성전과예루살렘주위의성의공사가끝나기를기다리니라
왕상3:2 그때까지여호와의이름을위하여성전을아직건축하지아니하였으므로백성들이산당에서제사하며
왕상3:3 솔로몬이여호와를사랑하고그의아버지다윗의법도를행하였으나산당에서제사하며분향하더라
왕상3:4 이에왕이제사하러기브온으로가니거기는산당이큼이라솔로몬이그제단에일천번제를드렸더니
왕상3:5 기브온에서밤에여호와께서솔로몬의꿈에나타나시니라하나님이이르시되내가네게무엇을줄꼬너는구하라
왕상3:6 솔로몬이이르되주의종내아버지다윗이성실과공의와정직한마음으로주와함께주앞에서행하므로주께서그에게큰은혜를베푸셨고주께서또그를위하여이큰은혜를항상주사오늘과같이그의자리에앉을아들을그에게주셨나이다
왕상3:7 나의하나님여호와여주께서종으로종의아버지다윗을대신하여왕이되게하셨사오나종은작은아이라출입할줄을알지못하고
왕상3:8 왕께서택하신백성가운데있나이다그들은큰백성이라수효가많아서셀수도없고기록할수도없사오니
왕상3:9 누가주의이많은백성을재판할수있사오리이까듣는마음을종에게주사주의백성을재판하여선악을분별하게하옵소서
왕상3:10 솔로몬이이것을구하매그말씀이주의마음에든지라
왕상3:11 이에하나님이그에게이르시되네가이것을구하도다자기를위하여장수하기를구하지아니하며부도구하지아니하며자기원수의생명을멸하기도구하지아니하고오직송사를듣고분별하는지혜를구하였으니
왕상3:12 내가네말대로하여네게지혜롭고총명한마음을주노니네앞에도너와같은자가없었거니와네뒤에도너와같은자가일어남이없으리라
왕상3:13 내가또네가구하지아니한부귀와영광도네게주노니네평생에왕들중에너와같은자가없을것이라
왕상3:14 네가만일네아버지다윗이행함같이내길로행하며내법도와명령을지키면내가또네날을길게하리라
왕상3:15 솔로몬이깨어보니꿈이더라이에예루살렘에이르러여호와의언약궤앞에서서번제와감사의제물을드리고모든신하들을위하여잔치하였더라
왕상3:16 그때에창기두여자가왕에게와서그앞에서며
왕상3:17 한여자는말하되내주여나와이여자가한집에서사는데내가그와함께집에있으며해산하였더니
왕상3:18 내가해산한지사흘만에이여자도해산하고우리가함께있었고우리둘외에는집에다른사람이없었나이다
왕상3:19 그런데밤에저여자가그의아들위에누우므로그의아들이죽으니
왕상3:20 그가밤중에일어나서이여종내가잠든사이에내아들을내곁에서가져다가자기의품에누이고자기의죽은아들을내품에뉘었나이다
왕상3:21 아침에내가내아들을젖먹이려고일어나본즉죽었기로내가아침에자세히보니내가낳은아들이아니더이다하매
왕상3:22 다른여자는이르되아니라산것은내아들이요죽은것은네아들이라하고이여자는이르되아니라죽은것이네아들이요산것이내아들이라하며왕앞에서그와같이쟁론하는지라
왕상3:23 왕이이르되이여자는말하기를산것은내아들이요죽은것은네아들이라하고저여자는말하기를아니라죽은것이네아들이요산것이내아들이라하는도다하고
왕상3:24 또이르되칼을내게로가져오라하니칼을왕앞으로가져온지라
왕상3:25 왕이이르되산아이를둘로나누어반은이여자에게주고반은저여자에게주라
왕상3:26 그산아들의어머니되는여자가그아들을위하여마음이불붙는것같아서왕께아뢰어청하건대내주여산아이를그에게주시고아무쪼록죽이지마옵소서하되다른여자는말하기를내것도되게말고네것도되게말고나누게하라하는지라
왕상3:27 왕이대답하여이르되산아이를저여자에게주고결코죽이지말라저가그의어머니이니라하매
왕상3:28 온이스라엘이왕이심리하여판결함을듣고왕을두려워하였으니이는하나님의지혜가그의속에있어판결함을봄이더라
왕상4:1 솔로몬왕이온이스라엘의왕이되었고
왕상4:2 그의신하들은이러하니라사독의아들아사리아는제사장이요
왕상4:3 시사의아들엘리호렙과아히야는서기관이요아힐룻의아들여호사밧은사관이요
왕상4:4 여호야다의아들브나야는군사령관이요사독과아비아달은제사장이요
왕상4:5 나단의아들아사리아는지방관장의두령이요나단의아들사붓은제사장이니왕의벗이요
왕상4:6 아히살은궁내대신이요압다의아들아도니람은노동감독관이더라
왕상4:7 솔로몬이또온이스라엘에열두지방관장을두매그사람들이왕과왕실을위하여양식을공급하되각기일년에한달씩양식을공급하였으니
왕상4:8 그들의이름은이러하니라에브라임산지에는벤훌이요
왕상4:9 마가스와사알빔과벧세메스와엘론벧하난에는벤데겔이요
왕상4:10 아룹봇에는벤헤셋이니소고와헤벨온땅을그가주관하였으며
왕상4:11 나밧돌높은땅온지방에는벤아비나답이니그는솔로몬의딸다밧을아내로삼았으며
왕상4:12 다아낙과므깃도와이스르엘아래사르단가에있는벧스안온땅은아힐룻의아들바아나가맡았으니벧스안에서부터아벨므홀라에이르고욕느암바깥까지미쳤으며
왕상4:13 길르앗라못에는벤게벨이니그는길르앗에있는므낫세의아들야일의모든마을을주관하였고또바산아르곱땅의성벽과놋빗장있는육십개의큰성읍을주관하였으며
왕상4:14 마하나임에는잇도의아들아히나답이요
왕상4:15 납달리에는아히마아스이니그는솔로몬의딸바스맛을아내로삼았으며
왕상4:16 아셀과아롯에는후새의아들바아나요
왕상4:17 잇사갈에는바루아의아들여호사밧이요
왕상4:18 베냐민에는엘라의아들시므이요
왕상4:19 아모리사람의왕시혼과바산왕옥의나라길르앗땅에는우리의아들게벨이니그땅에서는그한사람만지방관장이되었더라
왕상4:20 유다와이스라엘의인구가바닷가의모래같이많게되매먹고마시며즐거워하였으며
왕상4:21 솔로몬이그강에서부터블레셋사람의땅에이르기까지와애굽지경에미치기까지의모든나라를다스리므로솔로몬이사는동안에그나라들이조공을바쳐섬겼더라
왕상4:22 솔로몬의하루의음식물은가는밀가루가삼십고르요굵은밀가루가육십고르요
왕상4:23 살진소가열마리요초장의소가스무마리요양이백마리이며그외에수사슴과노루와암사슴과살진새들이었더라
왕상4:24 솔로몬이그강건너편을딥사에서부터가사까지모두,그강건너편의왕을모두다스리므로그가사방에둘린민족과평화를누렸으니
왕상4:25 솔로몬이사는동안에유다와이스라엘이단에서부터브엘세바에이르기까지각기포도나무아래와무화과나무아래에서평안히살았더라
왕상4:26 솔로몬의병거의말외양간이사만이요마병이만이천명이며
왕상4:27 그지방관장들은각각자기가맡은달에솔로몬왕과왕의상에참여하는모든자를위하여먹을것을공급하여부족함이없게하였으며
왕상4:28 또그들이각기직무를따라말과준마에게먹일보리와꼴을그말들이있는곳으로가져왔더라
왕상4:29 하나님이솔로몬에게지혜와총명을심히많이주시고또넓은마음을주시되바닷가의모래같이하시니
왕상4:30 솔로몬의지혜가동쪽모든사람의지혜와애굽의모든지혜보다뛰어난지라
왕상4:31 그는모든사람보다지혜로워서예스라사람에단과마홀의아들헤만과갈골과다르다보다나으므로그의이름이사방모든나라에들렸더라
왕상4:32 그가잠언삼천가지를말하였고그의노래는천다섯편이며
왕상4:33 그가또초목에대하여말하되레바논의백향목으로부터담에나는우슬초까지하고그가또짐승과새와기어다니는것과물고기에대하여말한지라
왕상4:34 사람들이솔로몬의지혜를들으러왔으니이는그의지혜의소문을들은천하모든왕들이보낸자들이더라
왕상5:1 솔로몬이기름부음을받고그의아버지를이어왕이되었다함을두로왕히람이듣고그의신하들을솔로몬에게보냈으니이는히람이평생에다윗을사랑하였음이라
왕상5:2 이에솔로몬이히람에게사람을보내어이르되
왕상5:3 당신도알거니와내아버지다윗이사방의전쟁으로말미암아그의하나님여호와의이름을위하여성전을건축하지못하고여호와께서그의원수들을그의발바닥밑에두시기를기다렸나이다
왕상5:4 이제내하나님여호와께서내게사방의태평을주시매원수도없고재앙도없도다
왕상5:5 여호와께서내아버지다윗에게하신말씀에내가너를이어네자리에오르게할네아들그가내이름을위하여성전을건축하리라하신대로내가내하나님여호와의이름을위하여성전을건축하려하오니
왕상5:6 당신은명령을내려나를위하여레바논에서백향목을베어내게하소서내종과당신의종이함께할것이요또내가당신의모든말씀대로당신의종의삯을당신에게드리리이다당신도알거니와우리중에는시돈사람처럼벌목을잘하는자가없나이다
왕상5:7 히람이솔로몬의말을듣고크게기뻐하여이르되오늘여호와를찬양할지로다그가다윗에게지혜로운아들을주사그많은백성을다스리게하셨도다하고
왕상5:8 이에솔로몬에게사람을보내어이르되당신이사람을보내어하신말씀을내가들었거니와내백향목재목과잣나무재목에대하여는당신이바라시는대로할지라
왕상5:9 내종이레바논에서바다로운반하겠고내가그것을바다에서뗏목으로엮어당신이지정하는곳으로보내고거기서그것을풀리니당신은받으시고내원을이루어나의궁정을위하여음식물을주소서하고
왕상5:10 솔로몬의모든원대로백향목재목과잣나무재목을주매
왕상5:11 솔로몬이히람에게그의궁정의음식물로밀이만고르와맑은기름이십고르를주고해마다그와같이주었더라
왕상5:12 여호와께서그의말씀대로솔로몬에게지혜를주신고로히람과솔로몬이친목하여두사람이함께약조를맺었더라
왕상5:13 이에솔로몬왕이온이스라엘가운데서역군을불러일으키니그역군의수가삼만명이라
왕상5:14 솔로몬이그들을한달에만명씩번갈아레바논으로보내매그들이한달은레바논에있고두달은집에있으며아도니람은감독이되었고
왕상5:15 솔로몬에게또짐꾼이칠만명이요산에서돌을뜨는자가팔만명이며
왕상5:16 이외에그사역을감독하는관리가삼천삼백명이라그들이일하는백성을거느렸더라
왕상5:17 이에왕이명령을내려크고귀한돌을떠다가다듬어서성전의기초석으로놓게하매
왕상5:18 솔로몬의건축자와히람의건축자와그발사람이그돌을다듬고성전을건축하기위하여재목과돌들을갖추니라
왕상6:1 이스라엘자손이애굽땅에서나온지사백팔십년이요솔로몬이이스라엘왕이된지사년시브월곧둘째달에솔로몬이여호와를위하여성전건축하기를시작하였더라
왕상6:2 솔로몬왕이여호와를위하여건축한성전은길이가육십규빗이요너비가이십규빗이요높이가삼십규빗이며
왕상6:3 성전의성소앞주랑의길이는성전의너비와같이이십규빗이요그너비는성전앞에서부터십규빗이며
왕상6:4 성전을위하여창틀있는붙박이창문을내고
왕상6:5 또성전의벽곧성소와지성소의벽에연접하여돌아가며다락들을건축하되다락마다돌아가며골방들을만들었으니
왕상6:6 하층다락의너비는다섯규빗이요중층다락의너비는여섯규빗이요셋째층다락의너비는일곱규빗이라성전의벽바깥으로돌아가며턱을내어골방들보들로성전의벽에박히지아니하게하였으며
왕상6:7 이성전은건축할때에돌을그뜨는곳에서다듬고가져다가건축하였으므로건축하는동안에성전속에서는방망이나도끼나모든철연장소리가들리지아니하였으며
왕상6:8 중층골방의문은성전오른쪽에있는데나사모양층계로말미암아하층에서중층에오르고중층에서셋째층에오르게하였더라
왕상6:9 성전의건축을마치니라그성전은백향목서까래와널판으로덮었고
왕상6:10 또온성전으로돌아가며높이가다섯규빗되는다락방을건축하되백향목들보로성전에연접하게하였더라
왕상6:11 여호와의말씀이솔로몬에게임하여이르시되
왕상6:12 네가지금이성전을건축하니네가만일내법도를따르며내율례를행하며내모든계명을지켜그대로행하면내가네아버지다윗에게한말을네게확실히이룰것이요
왕상6:13 내가또한이스라엘자손가운데에거하며내백성이스라엘을버리지아니하리라하셨더라
왕상6:14 솔로몬이성전건축하기를마치고
왕상6:15 백향목널판으로성전의안벽곧성전마루에서천장까지의벽에입히고또잣나무널판으로성전마루를놓고
왕상6:16 또성전뒤쪽에서부터이십규빗되는곳에마루에서천장까지백향목널판으로가로막아성전의내소곧지성소를만들었으며
왕상6:17 내소앞에있는외소곧성소의길이가사십규빗이며
왕상6:18 성전안에입힌백향목에는박과핀꽃을아로새겼고모두백향목이라돌이보이지아니하며
왕상6:19 여호와의언약궤를두기위하여성전안에내소를마련하였는데
왕상6:20 그내소의안은길이가이십규빗이요너비가이십규빗이요높이가이십규빗이라정금으로입혔고백향목제단에도입혔더라
왕상6:21 솔로몬이정금으로외소안에입히고내소앞에금사슬로건너지르고내소를금으로입히고
왕상6:22 온성전을금으로입히기를마치고내소에속한제단의전부를금으로입혔더라
왕상6:23 내소안에감람나무로두그룹을만들었는데그높이가각각십규빗이라
왕상6:24 한그룹의이쪽날개도다섯규빗이요저쪽날개도다섯규빗이니이쪽날개끝으로부터저쪽날개끝까지십규빗이며
왕상6:25 다른그룹도십규빗이니그두그룹은같은크기와같은모양이요
왕상6:26 이그룹의높이가십규빗이요저그룹도같았더라
왕상6:27 솔로몬이내소가운데에그룹을두었으니그룹들의날개가퍼져있는데이쪽그룹의날개는이쪽벽에닿았고저쪽그룹의날개는저쪽벽에닿았으며두날개는성전의중앙에서서로닿았더라
왕상6:28 그가금으로그룹을입혔더라
왕상6:29 내외소사방벽에는모두그룹들과종려와핀꽃형상을아로새겼고
왕상6:30 내외성전마루에는금으로입혔으며
왕상6:31 내소에들어가는곳에는감람나무로문을만들었는데그문인방과문설주는벽의오분의일이요
왕상6:32 감람나무로만든그두문짝에그룹과종려와핀꽃을아로새기고금으로입히되곧그룹들과종려에금으로입혔더라
왕상6:33 또외소의문을위하여감람나무로문설주를만들었으니곧벽의사분의일이며
왕상6:34 그두문짝은잣나무라이쪽문짝도두짝으로접게되었고저쪽문짝도두짝으로접게되었으며
왕상6:35 그문짝에그룹들과종려와핀꽃을아로새기고금으로입히되그새긴데에맞게하였고
왕상6:36 또다듬은돌세켜와백향목두꺼운판자한켜로둘러안뜰을만들었더라
왕상6:37 넷째해시브월에여호와의성전기초를쌓았고
왕상6:38 열한째해불월곧여덟째달에그설계와식양대로성전건축이다끝났으니솔로몬이칠년동안성전을건축하였더라
왕상7:1 솔로몬이자기의왕궁을십삼년동안건축하여그전부를준공하니라
왕상7:2 그가레바논나무로왕궁을지었으니길이가백규빗이요너비가오십규빗이요높이가삼십규빗이라백향목기둥이네줄이요기둥위에백향목들보가있으며
왕상7:3 기둥위에있는들보사십오개를백향목으로덮었는데들보는한줄에열다섯이요
왕상7:4 또창틀이세줄로있는데창과창이세층으로서로마주대하였고
왕상7:5 모든문과문설주를다큰나무로네모지게만들었는데창과창이세층으로서로마주대하였으며
왕상7:6 또기둥을세워주랑을지었으니길이가오십규빗이요너비가삼십규빗이며또기둥앞에한주랑이있고또그앞에기둥과섬돌이있으며
왕상7:7 또심판하기위하여보좌의주랑곧재판하는주랑을짓고온마루를백향목으로덮었고
왕상7:8 솔로몬이거처할왕궁은그주랑뒤다른뜰에있으니그양식이동일하며솔로몬이또그가장가든바로의딸을위하여집을지었는데이주랑과같더라
왕상7:9 이집들은안팎을모두귀하고다듬은돌로지었으니크기대로톱으로켠것이라그초석에서처마까지와외면에서큰뜰에이르기까지다그러하니
왕상7:10 그초석은귀하고큰돌곧십규빗되는돌과여덟규빗되는돌이라
왕상7:11 그위에는크기대로다듬은귀한돌도있고백향목도있으며
왕상7:12 또큰뜰주위에는다듬은돌세켜와백향목두꺼운판자한켜를놓았으니마치여호와의성전안뜰과주랑에놓은것같더라
왕상7:13 솔로몬왕이사람을보내어히람을두로에서데려오니
