히1:1 옛적에선지자들을통하여여러부분과여러모양으로우리조상들에게말씀하신하나님이
히6:5 하나님의선한말씀과내세의능력을맛보고도
히6:6 타락한자들은다시새롭게하여회개하게할수없나니이는그들이하나님의아들을다시십자가에못박아드러내놓고욕되게함이라
히6:7 땅이그위에자주내리는비를흡수하여밭가는자들이쓰기에합당한채소를내면하나님께복을받고
히6:8 만일가시와엉겅퀴를내면버림을당하고저주함에가까워그마지막은불사름이되리라
히6:9 사랑하는자들아우리가이같이말하나너희에게는이보다더좋은것곧구원에속한것이있음을확신하노라
히6:10 하나님은불의하지아니하사너희행위와그의이름을위하여나타낸사랑으로이미성도를섬긴것과이제도섬기고있는것을잊어버리지아니하시느니라
히6:11 우리가간절히원하는것은너희각사람이동일한부지런함을나타내어끝까지소망의풍성함에이르러
히6:12 게으르지아니하고믿음과오래참음으로말미암아약속들을기업으로받는자들을본받는자되게하려는것이니라
히6:13 하나님이아브라함에게약속하실때에가리켜맹세할자가자기보다더큰이가없으므로자기를가리켜맹세하여
히6:14 이르시되내가반드시너에게복주고복주며너를번성하게하고번성하게하리라하셨더니
히6:15 그가이같이오래참아약속을받았느니라
히6:16 사람들은자기보다더큰자를가리켜맹세하나니맹세는그들이다투는모든일의최후확정이니라
히6:17 하나님은약속을기업으로받는자들에게그뜻이변하지아니함을충분히나타내시려고그일을맹세로보증하셨나니
히6:18 이는하나님이거짓말을하실수없는이두가지변하지못할사실로말미암아앞에있는소망을얻으려고피난처를찾은우리에게큰안위를받게하려하심이라
히6:19 우리가이소망을가지고있는것은영혼의닻같아서튼튼하고견고하여휘장안에들어가나니
히6:20 그리로앞서가신예수께서멜기세덱의반차를따라영원히대제사장이되어우리를위하여들어가셨느니라
히7:1 이멜기세덱은살렘왕이요지극히높으신하나님의제사장이라여러왕을쳐서죽이고돌아오는아브라함을만나복을빈자라
히7:2 아브라함이모든것의십분의일을그에게나누어주니라그이름을해석하면먼저는의의왕이요그다음은살렘왕이니곧평강의왕이요
히7:3 아버지도없고어머니도없고족보도없고시작한날도없고생명의끝도없어하나님의아들과닮아서항상제사장으로있느니라
히7:4 이사람이얼마나높은가를생각해보라조상아브라함도노략물중십분의일을그에게주었느니라
히7:5 레위의아들들가운데제사장의직분을받은자들은율법을따라아브라함의허리에서난자라도자기형제인백성에게서십분의일을취하라는명령을받았으나
히7:6 레위족보에들지아니한멜기세덱은아브라함에게서십분의일을취하고약속을받은그를위하여복을빌었나니
히7:7 논란의여지없이낮은자가높은자에게서축복을받느니라
히7:8 또여기는죽을자들이십분의일을받으나저기는산다고증거를얻은자가받았느니라
히7:9 또한십분의일을받는레위도아브라함으로말미암아십분의일을바쳤다고할수있나니
히7:10 이는멜기세덱이아브라함을만날때에레위는이미자기조상의허리에있었음이라
히7:11 레위계통의제사직분으로말미암아온전함을얻을수있었으면(백성이그아래에서율법을받았으니)어찌하여아론의반차를따르지않고멜기세덱의반차를따르는다른한제사장을세울필요가있느냐
히7:12 제사직분이바꾸어졌은즉율법도반드시바꾸어지리니
히7:13 이것은한사람도제단일을받들지않는다른지파에속한자를가리켜말한것이라
히7:14 우리주께서는유다로부터나신것이분명하도다이지파에는모세가제사장들에관하여말한것이하나도없고
히7:15 멜기세덱과같은별다른한제사장이일어난것을보니더욱분명하도다
히7:16 그는육신에속한한계명의법을따르지아니하고오직불멸의생명의능력을따라되었으니
히7:17 증언하기를네가영원히멜기세덱의반차를따르는제사장이라하였도다
히7:18 전에있던계명은연약하고무익하므로폐하고
히7:19 (율법은아무것도온전하게못할지라)이에더좋은소망이생기니이것으로우리가하나님께가까이가느니라
히7:20 또예수께서제사장이되신것은맹세없이된것이아니니
히7:21 (그들은맹세없이제사장이되었으되오직예수는자기에게말씀하신이로말미암아맹세로되신것이라주께서맹세하시고뉘우치지아니하시리니네가영원히제사장이라하셨도다)
히7:22 이와같이예수는더좋은언약의보증이되셨느니라
히7:23 제사장된그들의수효가많은것은죽음으로말미암아항상있지못함이로되
히7:24 예수는영원히계시므로그제사장직분도갈리지아니하느니라
히7:25 그러므로자기를힘입어하나님께나아가는자들을온전히구원하실수있으니이는그가항상살아계셔서그들을위하여간구하심이라
히7:26 이러한대제사장은우리에게합당하니거룩하고악이없고더러움이없고죄인에게서떠나계시고하늘보다높이되신이라
히7:27 그는저대제사장들이먼저자기죄를위하고다음에백성의죄를위하여날마다제사드리는것과같이할필요가없으니이는그가단번에자기를드려이루셨음이라
히7:28 율법은약점을가진사람들을제사장으로세웠거니와율법후에하신맹세의말씀은영원히온전하게되신아들을세우셨느니라
히8:1 지금우리가하는말의요점은이러한대제사장이우리에게있다는것이라그는하늘에서지극히크신이의보좌우편에앉으셨으니
히8:2 성소와참장막에서섬기는이시라이장막은주께서세우신것이요사람이세운것이아니니라
히8:3 대제사장마다예물과제사드림을위하여세운자니그러므로그도무엇인가드릴것이있어야할지니라
히8:4 예수께서만일땅에계셨더라면제사장이되지아니하셨을것이니이는율법을따라예물을드리는제사장이있음이라
히8:5 그들이섬기는것은하늘에있는것의모형과그림자라모세가장막을지으려할때에지시하심을얻음과같으니이르시되삼가모든것을산에서네게보이던본을따라지으라하셨느니라
히8:6 그러나이제그는더아름다운직분을얻으셨으니그는더좋은약속으로세우신더좋은언약의중보자시라
히8:7 저첫언약이무흠하였더라면둘째것을요구할일이없었으려니와
히8:8 그들의잘못을지적하여말씀하시되주께서이르시되볼지어다날이이르리니내가이스라엘집과유다집과더불어새언약을맺으리라
히8:9 또주께서이르시기를이언약은내가그들의열조의손을잡고애굽땅에서인도하여내던날에그들과맺은언약과같지아니하도다그들은내언약안에머물러있지아니하므로내가그들을돌보지아니하였노라
히8:10 또주께서이르시되그날후에내가이스라엘집과맺을언약은이것이니내법을그들의생각에두고그들의마음에이것을기록하리라나는그들에게하나님이되고그들은내게백성이되리라
히8:11 또각각자기나라사람과각각자기형제를가르쳐이르기를주를알라하지아니할것은그들이작은자로부터큰자까지다나를앎이라
히8:12 내가그들의불의를긍휼히여기고그들의죄를다시기억하지아니하리라하셨느니라
히8:13 새언약이라말씀하셨으매첫것은낡아지게하신것이니낡아지고쇠하는것은없어져가는것이니라
히9:1 첫언약에도섬기는예법과세상에속한성소가있더라
히9:2 예비한첫장막이있고그안에등잔대와상과진설병이있으니이는성소라일컫고
히9:3 또둘째휘장뒤에있는장막을지성소라일컫나니
히9:4 금향로와사면을금으로싼언약궤가있고그안에만나를담은금항아리와아론의싹난지팡이와언약의돌판들이있고
히9:5 그위에속죄소를덮는영광의그룹들이있으니이것들에관하여는이제낱낱이말할수없노라
히9:6 이모든것을이같이예비하였으니제사장들이항상첫장막에들어가섬기는예식을행하고
히9:7 오직둘째장막은대제사장이홀로일년에한번들어가되자기와백성의허물을위하여드리는피없이는아니하나니
히9:8 성령이이로써보이신것은첫장막이서있을동안에는성소에들어가는길이아직나타나지아니한것이라
히9:9 이장막은현재까지의비유니이에따라드리는예물과제사는섬기는자를그양심상온전하게할수없나니
히9:10 이런것은먹고마시는것과여러가지씻는것과함께육체의예법일뿐이며개혁할때까지맡겨둔것이니라
히9:11 그리스도께서는장래좋은일의대제사장으로오사손으로짓지아니한것곧이창조에속하지아니한더크고온전한장막으로말미암아
히9:12 염소와송아지의피로하지아니하고오직자기의피로영원한속죄를이루사단번에성소에들어가셨느니라
히9:13 염소와황소의피와및암송아지의재를부정한자에게뿌려그육체를정결하게하여거룩하게하거든
히9:14 하물며영원하신성령으로말미암아흠없는자기를하나님께드린그리스도의피가어찌너희양심을죽은행실에서깨끗하게하고살아계신하나님을섬기게하지못하겠느냐
히9:15 이로말미암아그는새언약의중보자시니이는첫언약때에범한죄에서속량하려고죽으사부르심을입은자로하여금영원한기업의약속을얻게하려하심이라
히9:16 유언은유언한자가죽어야되나니
히9:17 유언은그사람이죽은후에야유효한즉유언한자가살아있는동안에는효력이없느니라
히9:18 이러므로첫언약도피없이세운것이아니니
히9:19 모세가율법대로모든계명을온백성에게말한후에송아지와염소의피및물과붉은양털과우슬초를취하여그두루마리와온백성에게뿌리며
히9:20 이르되이는하나님이너희에게명하신언약의피라하고
히9:21 또한이와같이피를장막과섬기는일에쓰는모든그릇에뿌렸느니라
히9:22 율법을따라거의모든물건이피로써정결하게되나니피흘림이없은즉사함이없느니라
히9:23 그러므로하늘에있는것들의모형은이런것들로써정결하게할필요가있었으나하늘에있는그것들은이런것들보다더좋은제물로할지니라
히9:24 그리스도께서는참것의그림자인손으로만든성소에들어가지아니하시고바로그하늘에들어가사이제우리를위하여하나님앞에나타나시고
히9:25 대제사장이해마다다른것의피로써성소에들어가는것같이자주자기를드리려고아니하실지니
히9:26 그리하면그가세상을창조한때부터자주고난을받았어야할것이로되이제자기를단번에제물로드려죄를없이하시려고세상끝에나타나셨느니라
히9:27 한번죽는것은사람에게정해진것이요그후에는심판이있으리니
히9:28 이와같이그리스도도많은사람의죄를담당하시려고단번에드리신바되셨고구원에이르게하기위하여죄와상관없이자기를바라는자들에게두번째나타나시리라
히10:1 율법은장차올좋은일의그림자일뿐이요참형상이아니므로해마다늘드리는같은제사로는나아오는자들을언제나온전하게할수없느니라
히10:2 그렇지아니하면섬기는자들이단번에정결하게되어다시죄를깨닫는일이없으리니어찌제사드리는일을그치지아니하였으리요
히10:3 그러나이제사들에는해마다죄를기억하게하는것이있나니
히10:4 이는황소와염소의피가능히죄를없이하지못함이라
히10:5 그러므로주께서세상에임하실때에이르시되하나님이제사와예물을원하지아니하시고오직나를위하여한몸을예비하셨도다
히10:6 번제와속죄제는기뻐하지아니하시나니
히10:7 이에내가말하기를하나님이여보시옵소서두루마리책에나를가리켜기록된것과같이하나님의뜻을행하러왔나이다하셨느니라
히10:8 위에말씀하시기를주께서는제사와예물과번제와속죄제는원하지도아니하고기뻐하지도아니하신다하셨고(이는다율법을따라드리는것이라)
히10:9 그후에말씀하시기를보시옵소서내가하나님의뜻을행하러왔나이다하셨으니그첫째것을폐하심은둘째것을세우려하심이라
히10:10 이뜻을따라예수그리스도의몸을단번에드리심으로말미암아우리가거룩함을얻었노라
히10:11 제사장마다매일서서섬기며자주같은제사를드리되이제사는언제나죄를없게하지못하거니와
히10:12 오직그리스도는죄를위하여한영원한제사를드리시고하나님우편에앉으사
히10:13 그후에자기원수들을자기발등상이되게하실때까지기다리시나니
히10:14 그가거룩하게된자들을한번의제사로영원히온전하게하셨느니라
히10:15 또한성령이우리에게증언하시되
히10:16 주께서이르시되그날후로는그들과맺을언약이이것이라하시고내법을그들의마음에두고그들의생각에기록하리라하신후에
히10:17 또그들의죄와그들의불법을내가다시기억하지아니하리라하셨으니
히10:18 이것들을사하셨은즉다시죄를위하여제사드릴것이없느니라
히10:19 그러므로형제들아우리가예수의피를힘입어성소에들어갈담력을얻었나니
히10:20 그길은우리를위하여휘장가운데로열어놓으신새로운살길이요휘장은곧그의육체니라
히10:21 또하나님의집다스리는큰제사장이계시매
히10:22 우리가마음에뿌림을받아악한양심으로부터벗어나고몸은맑은물로씻음을받았으니참마음과온전한믿음으로하나님께나아가자
히10:23 또약속하신이는미쁘시니우리가믿는도리의소망을움직이지말며굳게잡고
히10:24 서로돌아보아사랑과선행을격려하며
히10:25 모이기를폐하는어떤사람들의습관과같이하지말고오직권하여그날이가까움을볼수록더욱그리하자
히10:26 우리가진리를아는지식을받은후짐짓죄를범한즉다시속죄하는제사가없고
히10:27 오직무서운마음으로심판을기다리는것과대적하는자를태울맹렬한불만있으리라
히10:28 모세의법을폐한자도두세증인으로말미암아불쌍히여김을받지못하고죽었거든
히10:29 하물며하나님의아들을짓밟고자기를거룩하게한언약의피를부정한것으로여기고은혜의성령을욕되게하는자가당연히받을형벌은얼마나더무겁겠느냐너희는생각하라
히10:30 원수갚는것이내게있으니내가갚으리라하시고또다시주께서그의백성을심판하리라말씀하신것을우리가아노니
히10:31 살아계신하나님의손에빠져들어가는것이무서울진저
히10:32 전날에너희가빛을받은후에고난의큰싸움을견디어낸것을생각하라
히10:33 혹은비방과환난으로써사람에게구경거리가되고혹은이런형편에있는자들과사귀는자가되었으니
히10:34 너희가갇힌자를동정하고너희소유를빼앗기는것도기쁘게당한것은더낫고영구한소유가있는줄앎이라
히10:35 그러므로너희담대함을버리지말라이것이큰상을얻게하느니라
히10:36 너희에게인내가필요함은너희가하나님의뜻을행한후에약속하신것을받기위함이라
히10:37 잠시잠깐후면오실이가오시리니지체하지아니하시리라
히10:38 나의의인은믿음으로말미암아살리라또한뒤로물러가면내마음이그를기뻐하지아니하리라하셨느니라
히10:39 우리는뒤로물러가멸망할자가아니요오직영혼을구원함에이르는믿음을가진자니라
히11:1 믿음은바라는것들의실상이요보이지않는것들의증거니
히11:2 선진들이이로써증거를얻었느니라
히11:3 믿음으로모든세계가하나님의말씀으로지어진줄을우리가아나니보이는것은나타난것으로말미암아된것이아니니라
히11:4 믿음으로아벨은가인보다더나은제사를하나님께드림으로의로운자라하시는증거를얻었으니하나님이그예물에대하여증언하심이라그가죽었으나그믿음으로써지금도말하느니라
히11:5 믿음으로에녹은죽음을보지않고옮겨졌으니하나님이그를옮기심으로다시보이지아니하였느니라그는옮겨지기전에하나님을기쁘시게하는자라하는증거를받았느니라
히11:6 믿음이없이는하나님을기쁘시게하지못하나니하나님께나아가는자는반드시그가계신것과또한그가자기를찾는자들에게상주시는이심을믿어야할지니라
히11:7 믿음으로노아는아직보이지않는일에경고하심을받아경외함으로방주를준비하여그집을구원하였으니이로말미암아세상을정죄하고믿음을따르는의의상속자가되었느니라
히11:8 믿음으로아브라함은부르심을받았을때에순종하여장래의유업으로받을땅에나아갈새갈바를알지못하고나아갔으며
히11:9 믿음으로그가이방의땅에있는것같이약속의땅에거류하여동일한약속을유업으로함께받은이삭및야곱과더불어장막에거하였으니
히11:10 이는그가하나님이계획하시고지으실터가있는성을바랐음이라
히11:11 믿음으로사라자신도나이가많아단산하였으나잉태할수있는힘을얻었으니이는약속하신이를미쁘신줄알았음이라
히11:12 이러므로죽은자와같은한사람으로말미암아하늘의허다한별과또해변의무수한모래와같이많은후손이생육하였느니라
히11:13 이사람들은다믿음을따라죽었으며약속을받지못하였으되그것들을멀리서보고환영하며또땅에서는외국인과나그네임을증언하였으니
히11:14 그들이이같이말하는것은자기들이본향찾는자임을나타냄이라
히11:15 그들이나온바본향을생각하였더라면돌아갈기회가있었으려니와
히11:16 그들이이제는더나은본향을사모하니곧하늘에있는것이라이러므로하나님이그들의하나님이라일컬음받으심을부끄러워하지아니하시고그들을위하여한성을예비하셨느니라
히11:17 아브라함은시험을받을때에믿음으로이삭을드렸으니그는약속들을받은자로되그외아들을드렸느니라
히11:18 그에게이미말씀하시기를네자손이라칭할자는이삭으로말미암으리라하셨으니
히11:19 그가하나님이능히이삭을죽은자가운데서다시살리실줄로생각한지라비유컨대그를죽은자가운데서도로받은것이니라
히11:20 믿음으로이삭은장차있을일에대하여야곱과에서에게축복하였으며
히11:21 믿음으로야곱은죽을때에요셉의각아들에게축복하고그지팡이머리에의지하여경배하였으며
히11:22 믿음으로요셉은임종시에이스라엘자손들이떠날것을말하고또자기뼈를위하여명하였으며
히11:23 믿음으로모세가났을때에그부모가아름다운아이임을보고석달동안숨겨왕의명령을무서워하지아니하였으며
히11:24 믿음으로모세는장성하여바로의공주의아들이라칭함받기를거절하고
히11:25 도리어하나님의백성과함께고난받기를잠시죄악의낙을누리는것보다더좋아하고
히11:26 그리스도를위하여받는수모를애굽의모든보화보다더큰재물로여겼으니이는상주심을바라봄이라
히11:27 믿음으로애굽을떠나왕의노함을무서워하지아니하고곧보이지아니하는자를보는것같이하여참았으며
히11:28 믿음으로유월절과피뿌리는예식을정하였으니이는장자를멸하는자로그들을건드리지않게하려한것이며
히11:29 믿음으로그들은홍해를육지같이건넜으나애굽사람들은이것을시험하다가빠져죽었으며
히11:30 믿음으로칠일동안여리고를도니성이무너졌으며
히11:31 믿음으로기생라합은정탐꾼을평안히영접하였으므로순종하지아니한자와함께멸망하지아니하였도다
히11:32 내가무슨말을더하리요기드온,바락,삼손,입다,다윗및사무엘과선지자들의일을말하려면내게시간이부족하리로다
히11:33 그들은믿음으로나라들을이기기도하며의를행하기도하며약속을받기도하며사자들의입을막기도하며
히11:34 불의세력을멸하기도하며칼날을피하기도하며연약한가운데서강하게되기도하며전쟁에용감하게되어이방사람들의진을물리치기도하며
히11:35 여자들은자기의죽은자들을부활로받아들이기도하며또어떤이들은더좋은부활을얻고자하여심한고문을받되구차히풀려나기를원하지아니하였으며
히11:36 또어떤이들은조롱과채찍질뿐아니라결박과옥에갇히는시련도받았으며
히11:37 돌로치는것과톱으로켜는것과시험과칼로죽임을당하고양과염소의가죽을입고유리하여궁핍과환난과학대를받았으니
히11:38 (이런사람은세상이감당하지못하느니라)그들이광야와산과동굴과토굴에유리하였느니라
히11:39 이사람들은다믿음으로말미암아증거를받았으나약속된것을받지못하였으니
히11:40 이는하나님이우리를위하여더좋은것을예비하셨은즉우리가아니면그들로온전함을이루지못하게하려하심이라
히12:1 이러므로우리에게구름같이둘러싼허다한증인들이있으니모든무거운것과얽매이기쉬운죄를벗어버리고인내로써우리앞에당한경주를하며
히12:2 믿음의주요또온전하게하시는이인예수를바라보자그는그앞에있는기쁨을위하여십자가를참으사부끄러움을개의치아니하시더니하나님보좌우편에앉으셨느니라
히12:3 너희가피곤하여낙심하지않기위하여죄인들이이같이자기에게거역한일을참으신이를생각하라
히12:4 너희가죄와싸우되아직피흘리기까지는대항하지아니하고
히12:5 또아들들에게권하는것같이너희에게권면하신말씀도잊었도다일렀으되내아들아주의징계하심을경히여기지말며그에게꾸지람을받을때에낙심하지말라
히12:6 주께서그사랑하시는자를징계하시고그가받아들이시는아들마다채찍질하심이라하였으니
히12:7 너희가참음은징계를받기위함이라하나님이아들과같이너희를대우하시나니어찌아버지가징계하지않는아들이있으리요
히12:8 징계는다받는것이거늘너희에게없으면사생자요친아들이아니니라
히12:9 또우리육신의아버지가우리를징계하여도공경하였거든하물며모든영의아버지께더욱복종하며살려하지않겠느냐
히12:10 그들은잠시자기의뜻대로우리를징계하였거니와오직하나님은우리의유익을위하여그의거룩하심에참여하게하시느니라
히12:11 무릇징계가당시에는즐거워보이지않고슬퍼보이나후에그로말미암아연단받은자들은의와평강의열매를맺느니라
히12:12 그러므로피곤한손과연약한무릎을일으켜세우고
히12:13 너희발을위하여곧은길을만들어저는다리로하여금어그러지지않고고침을받게하라
히12:14 모든사람과더불어화평함과거룩함을따르라이것이없이는아무도주를보지못하리라
히12:15 너희는하나님의은혜에이르지못하는자가없도록하고또쓴뿌리가나서괴롭게하여많은사람이이로말미암아더럽게되지않게하며
히12:16 음행하는자와혹한그릇음식을위하여장자의명분을판에서와같이망령된자가없도록살피라
