출1:1 야곱과함께각각자기가족을데리고애굽에이른이스라엘아들들의이름은이러하니
출2:7 그의누이가바로의딸에게이르되내가가서당신을위하여히브리여인중에서유모를불러다가이아기에게젖을먹이게하리이까
출2:8 바로의딸이그에게이르되가라하매그소녀가가서그아기의어머니를불러오니
출2:9 바로의딸이그에게이르되이아기를데려다가나를위하여젖을먹이라내가그삯을주리라여인이아기를데려다가젖을먹이더니
출2:10 그아기가자라매바로의딸에게로데려가니그가그의아들이되니라그가그의이름을모세라하여이르되이는내가그를물에서건져내었음이라하였더라
출2:11 모세가장성한후에한번은자기형제들에게나가서그들이고되게노동하는것을보더니어떤애굽사람이한히브리사람곧자기형제를치는것을본지라
출2:12 좌우를살펴사람이없음을보고그애굽사람을쳐죽여모래속에감추니라
출2:13 이튿날다시나가니두히브리사람이서로싸우는지라그잘못한사람에게이르되네가어찌하여동포를치느냐하매
출2:14 그가이르되누가너를우리를다스리는자와재판관으로삼았느냐네가애굽사람을죽인것처럼나도죽이려느냐모세가두려워하여이르되일이탄로되었도다
출2:15 바로가이일을듣고모세를죽이고자하여찾는지라모세가바로의낯을피하여미디안땅에머물며하루는우물곁에앉았더라
출2:16 미디안제사장에게일곱딸이있었더니그들이와서물을길어구유에채우고그들의아버지의양떼에게먹이려하는데
출2:17 목자들이와서그들을쫓는지라모세가일어나그들을도와그양떼에게먹이니라
출2:18 그들이그들의아버지르우엘에게이를때에아버지가이르되너희가오늘은어찌하여이같이속히돌아오느냐
출2:19 그들이이르되한애굽사람이우리를목자들의손에서건져내고우리를위하여물을길어양떼에게먹였나이다
출2:20 아버지가딸들에게이르되그사람이어디에있느냐너희가어찌하여그사람을버려두고왔느냐그를청하여음식을대접하라하였더라
출2:21 모세가그와동거하기를기뻐하매그가그의딸십보라를모세에게주었더니
출2:22 그가아들을낳으매모세가그의이름을게르솜이라하여이르되내가타국에서나그네가되었음이라하였더라
출2:23 여러해후에애굽왕은죽었고이스라엘자손은고된노동으로말미암아탄식하며부르짖으니그고된노동으로말미암아부르짖는소리가하나님께상달된지라
출2:24 하나님이그들의고통소리를들으시고하나님이아브라함과이삭과야곱에게세운그의언약을기억하사
출2:25 하나님이이스라엘자손을돌보셨고하나님이그들을기억하셨더라
출3:1 모세가그의장인미디안제사장이드로의양떼를치더니그떼를광야서쪽으로인도하여하나님의산호렙에이르매
출3:2 여호와의사자가떨기나무가운데로부터나오는불꽃안에서그에게나타나시니라그가보니떨기나무에불이붙었으나그떨기나무가사라지지아니하는지라
출3:3 이에모세가이르되내가돌이켜가서이큰광경을보리라떨기나무가어찌하여타지아니하는고하니그때에
출3:4 여호와께서그가보려고돌이켜오는것을보신지라하나님이떨기나무가운데서그를불러이르시되모세야모세야하시매그가이르되내가여기있나이다
출3:5 하나님이이르시되이리로가까이오지말라네가선곳은거룩한땅이니네발에서신을벗으라
출3:6 또이르시되나는네조상의하나님이니아브라함의하나님,이삭의하나님,야곱의하나님이니라모세가하나님뵈옵기를두려워하여얼굴을가리매
출3:7 여호와께서이르시되내가애굽에있는내백성의고통을분명히보고그들이그들의감독자로말미암아부르짖음을듣고그근심을알고
출3:8 내가내려가서그들을애굽인의손에서건져내고그들을그땅에서인도하여아름답고광대한땅,젖과꿀이흐르는땅곧가나안족속,헷족속,아모리족속,브리스족속,히위족속,여부스족속의지방에데려가려하노라
출3:9 이제가라이스라엘자손의부르짖음이내게달하고애굽사람이그들을괴롭히는학대도내가보았으니
출3:10 이제내가너를바로에게보내어너에게내백성이스라엘자손을애굽에서인도하여내게하리라
출3:11 모세가하나님께아뢰되내가누구이기에바로에게가며이스라엘자손을애굽에서인도하여내리이까
출3:12 하나님이이르시되내가반드시너와함께있으리라네가그백성을애굽에서인도하여낸후에너희가이산에서하나님을섬기리니이것이내가너를보낸증거니라
출3:13 모세가하나님께아뢰되내가이스라엘자손에게가서이르기를너희의조상의하나님이나를너희에게보내셨다하면그들이내게묻기를그의이름이무엇이냐하리니내가무엇이라고그들에게말하리이까
출3:14 하나님이모세에게이르시되나는스스로있는자이니라또이르시되너는이스라엘자손에게이같이이르기를스스로있는자가나를너희에게보내셨다하라
출3:15 하나님이또모세에게이르시되너는이스라엘자손에게이같이이르기를너희조상의하나님여호와곧아브라함의하나님,이삭의하나님,야곱의하나님께서나를너희에게보내셨다하라이는나의영원한이름이요대대로기억할나의칭호니라
출3:16 너는가서이스라엘의장로들을모으고그들에게이르기를여호와너희조상의하나님곧아브라함과이삭과야곱의하나님이내게나타나이르시되내가너희를돌보아너희가애굽에서당한일을확실히보았노라
출3:17 내가말하였거니와내가너희를애굽의고난중에서인도하여내어젖과꿀이흐르는땅곧가나안족속,헷족속,아모리족속,브리스족속,히위족속,여부스족속의땅으로올라가게하리라하셨다하면
출3:18 그들이네말을들으리니너는그들의장로들과함께애굽왕에게이르기를히브리사람의하나님여호와께서우리에게임하셨은즉우리가우리하나님여호와께제사를드리려하오니사흘길쯤광야로가도록허락하소서하라
출3:19 내가아노니강한손으로치기전에는애굽왕이너희가가도록허락하지아니하다가
출3:20 내가내손을들어애굽중에여러가지이적으로그나라를친후에야그가너희를보내리라
출3:21 내가애굽사람으로이백성에게은혜를입히게할지라너희가나갈때에빈손으로가지아니하리니
출3:22 여인들은모두그이웃사람과및자기집에거류하는여인에게은패물과금패물과의복을구하여너희의자녀를꾸미라너희는애굽사람들의물품을취하리라
출4:1 모세가대답하여이르되그러나그들이나를믿지아니하며내말을듣지아니하고이르기를여호와께서네게나타나지아니하셨다하리이다
출4:2 여호와께서그에게이르시되네손에있는것이무엇이냐그가이르되지팡이니이다
출4:3 여호와께서이르시되그것을땅에던지라하시매곧땅에던지니그것이뱀이된지라모세가뱀앞에서피하매
출4:4 여호와께서모세에게이르시되네손을내밀어그꼬리를잡으라그가손을내밀어그것을잡으니그의손에서지팡이가된지라
출4:5 이는그들에게그들의조상의하나님곧아브라함의하나님,이삭의하나님,야곱의하나님여호와가네게나타난줄을믿게하려함이라하시고
출4:6 여호와께서또그에게이르시되네손을품에넣으라하시매그가손을품에넣었다가내어보니그의손에나병이생겨눈같이된지라
출4:7 이르시되네손을다시품에넣으라하시매그가다시손을품에넣었다가내어보니그의손이본래의살로되돌아왔더라
출4:8 여호와께서이르시되만일그들이너를믿지아니하며그처음표적의표징을받지아니하여도나중표적의표징은믿으리라
출4:9 그들이이두이적을믿지아니하며네말을듣지아니하거든너는나일강물을조금떠다가땅에부으라네가떠온나일강물이땅에서피가되리라
출4:10 모세가여호와께아뢰되오주여나는본래말을잘하지못하는자니이다주께서주의종에게명령하신후에도역시그러하니나는입이뻣뻣하고혀가둔한자니이다
출4:11 여호와께서그에게이르시되누가사람의입을지었느냐누가말못하는자나못듣는자나눈밝은자나맹인이되게하였느냐나여호와가아니냐
출4:12 이제가라내가네입과함께있어서할말을가르치리라
출4:13 모세가이르되오주여보낼만한자를보내소서
출4:14 여호와께서모세를향하여노하여이르시되레위사람네형아론이있지아니하냐그가말잘하는것을내가아노라그가너를만나러나오나니그가너를볼때에그의마음에기쁨이있을것이라
출4:15 너는그에게말하고그의입에할말을주라내가네입과그의입에함께있어서너희들이행할일을가르치리라
출4:16 그가너를대신하여백성에게말할것이니그는네입을대신할것이요너는그에게하나님같이되리라
출4:17 너는이지팡이를손에잡고이것으로이적을행할지니라
출4:18 모세가그의장인이드로에게로돌아가서그에게이르되내가애굽에있는내형제들에게로돌아가서그들이아직살아있는지알아보려하오니나로가게하소서이드로가모세에게평안히가라하니라
출4:19 여호와께서미디안에서모세에게이르시되애굽으로돌아가라네목숨을노리던자가다죽었느니라
출4:20 모세가그의아내와아들들을나귀에태우고애굽으로돌아가는데모세가하나님의지팡이를손에잡았더라
출4:21 여호와께서모세에게이르시되네가애굽으로돌아가거든내가네손에준이적을바로앞에서다행하라그러나내가그의마음을완악하게한즉그가백성을보내주지아니하리니
출4:22 너는바로에게이르기를여호와의말씀에이스라엘은내아들내장자라
출4:23 내가네게이르기를내아들을보내주어나를섬기게하라하여도네가보내주기를거절하니내가네아들네장자를죽이리라하셨다하라하시니라
출4:24 모세가길을가다가숙소에있을때에여호와께서그를만나사그를죽이려하신지라
출4:25 십보라가돌칼을가져다가그의아들의포피를베어그의발에갖다대며이르되당신은참으로내게피남편이로다하니
출4:26 여호와께서그를놓아주시니라그때에십보라가피남편이라함은할례때문이었더라
출4:27 여호와께서아론에게이르시되광야에가서모세를맞으라하시매그가가서하나님의산에서모세를만나그에게입맞추니
출4:28 모세가여호와께서자기에게분부하여보내신모든말씀과여호와께서자기에게명령하신모든이적을아론에게알리니라
출4:29 모세와아론이가서이스라엘자손의모든장로를모으고
출4:30 아론이여호와께서모세에게이르신모든말씀을전하고그백성앞에서이적을행하니
출4:31 백성이믿으며여호와께서이스라엘자손을찾으시고그들의고난을살피셨다함을듣고머리숙여경배하였더라
출5:1 그후에모세와아론이바로에게가서이르되이스라엘의하나님여호와께서이렇게말씀하시기를내백성을보내라그러면그들이광야에서내앞에절기를지킬것이니라하셨나이다
출5:2 바로가이르되여호와가누구이기에내가그의목소리를듣고이스라엘을보내겠느냐나는여호와를알지못하니이스라엘을보내지아니하리라
출5:3 그들이이르되히브리인의하나님이우리에게나타나셨은즉우리가광야로사흘길쯤가서우리하나님여호와께제사를드리려하오니가도록허락하소서여호와께서전염병이나칼로우리를치실까두려워하나이다
출5:4 애굽왕이그들에게이르되모세와아론아너희가어찌하여백성의노역을쉬게하려느냐가서너희의노역이나하라
출5:5 바로가또이르되이제이땅의백성이많아졌거늘너희가그들로노역을쉬게하는도다하고
출5:6 바로가그날에백성의감독들과기록원들에게명령하여이르되
출5:7 너희는백성에게다시는벽돌에쓸짚을전과같이주지말고그들이가서스스로짚을줍게하라
출5:8 또그들이전에만든벽돌수효대로그들에게만들게하고감하지말라그들이게으르므로소리질러이르기를우리가가서우리하나님께제사를드리자하나니
출5:9 그사람들의노동을무겁게함으로수고롭게하여그들로거짓말을듣지않게하라
출5:10 백성의감독들과기록원들이나가서백성에게말하여이르되바로가이렇게말하기를내가너희에게짚을주지아니하리니
출5:11 너희는짚을찾을곳으로가서주우라그러나너희일은조금도감하지아니하리라하셨느니라
출5:12 백성이애굽온땅에흩어져곡초그루터기를거두어다가짚을대신하니
출5:13 감독들이그들을독촉하여이르되너희는짚이있을때와같이그날의일을그날에마치라하며
출5:14 바로의감독들이자기들이세운바이스라엘자손의기록원들을때리며이르되너희가어찌하여어제와오늘에만드는벽돌의수효를전과같이채우지아니하였느냐하니라
출5:15 이스라엘자손의기록원들이가서바로에게호소하여이르되왕은어찌하여당신의종들에게이같이하시나이까
출5:16 당신의종들에게짚을주지아니하고그들이우리에게벽돌을만들라하나이다당신의종들이매를맞사오니이는당신의백성의죄니이다
출5:17 바로가이르되너희가게으르다게으르다그러므로너희가이르기를우리가가서여호와께제사를드리자하는도다
출5:18 이제가서일하라짚은너희에게주지않을지라도벽돌은너희가수량대로바칠지니라
출5:19 기록하는일을맡은이스라엘자손들이너희가매일만드는벽돌을조금도감하지못하리라함을듣고화가몸에미친줄알고
출5:20 그들이바로를떠나나올때에모세와아론이길에서있는것을보고
출5:21 그들에게이르되너희가우리를바로의눈과그의신하의눈에미운것이되게하고그들의손에칼을주어우리를죽이게하는도다여호와는너희를살피시고판단하시기를원하노라
출5:22 모세가여호와께돌아와서아뢰되주여어찌하여이백성이학대를당하게하셨나이까어찌하여나를보내셨나이까
출5:23 내가바로에게들어가서주의이름으로말한후로부터그가이백성을더학대하며주께서도주의백성을구원하지아니하시나이다
출6:1 여호와께서모세에게이르시되이제내가바로에게하는일을네가보리라강한손으로말미암아바로가그들을보내리라강한손으로말미암아바로가그들을그의땅에서쫓아내리라
출6:2 하나님이모세에게말씀하여이르시되나는여호와이니라
출6:3 내가아브라함과이삭과야곱에게전능의하나님으로나타났으나나의이름을여호와로는그들에게알리지아니하였고
출6:4 가나안땅곧그들이거류하는땅을그들에게주기로그들과언약하였더니
출6:5 이제애굽사람이종으로삼은이스라엘자손의신음소리를내가듣고나의언약을기억하노라
출6:6 그러므로이스라엘자손에게말하기를나는여호와라내가애굽사람의무거운짐밑에서너희를빼내며그들의노역에서너희를건지며편팔과여러큰심판들로써너희를속량하여
출6:7 너희를내백성으로삼고나는너희의하나님이되리니나는애굽사람의무거운짐밑에서너희를빼낸너희의하나님여호와인줄너희가알지라
출6:8 내가아브라함과이삭과야곱에게주기로맹세한땅으로너희를인도하고그땅을너희에게주어기업을삼게하리라나는여호와라하셨다하라
출6:9 모세가이와같이이스라엘자손에게전하나그들이마음의상함과가혹한노역으로말미암아모세의말을듣지아니하였더라
출6:10 여호와께서모세에게말씀하여이르시되
출6:11 들어가서애굽왕바로에게말하여이스라엘자손을그땅에서내보내게하라
출6:12 모세가여호와앞에아뢰어이르되이스라엘자손도내말을듣지아니하였거든바로가어찌들으리이까나는입이둔한자니이다
출6:13 여호와께서모세와아론에게말씀하사그들로이스라엘자손과애굽왕바로에게명령을전하고이스라엘자손을애굽땅에서인도하여내게하시니라
출6:14 그들의조상을따라집의어른은이러하니라이스라엘의장자르우벤의아들은하녹과발루와헤스론과갈미니이들은르우벤의족장이요
출6:15 시므온의아들들은여무엘과야민과오핫과야긴과소할과가나안여인의아들사울이니이들은시므온의가족이요
출6:16 레위의아들들의이름은그들의족보대로이러하니게르손과고핫과므라리요레위의나이는백삼십칠세였으며
출6:17 게르손의아들들은그들의가족대로립니와시므이요
출6:18 고핫의아들들은아므람과이스할과헤브론과웃시엘이요고핫의나이는백삼십삼세였으며
출6:19 므라리의아들들은마흘리와무시니이들은그들의족보대로레위의족장이요
출6:20 아므람은그들의아버지의누이요게벳을아내로맞이하였고그는아론과모세를낳았으며아므람의나이는백삼십칠세였으며
출6:21 이스할의아들들은고라와네벡과시그리요
출6:22 웃시엘의아들들은미사엘과엘사반과시드리요
출6:23 아론은암미나답의딸나손의누이엘리세바를아내로맞이하였고그는나답과아비후와엘르아살과이다말을낳았으며
출6:24 고라의아들들은앗실과엘가나와아비아삽이니이들은고라사람의족장이요
출6:25 아론의아들엘르아살은부디엘의딸중에서아내를맞이하였고그는비느하스를낳았으니이들은레위사람의조상을따라가족의어른들이라
출6:26 이스라엘자손을그들의군대대로애굽땅에서인도하라하신여호와의명령을받은자는이아론과모세요
출6:27 애굽왕바로에게이스라엘자손을애굽에서내보내라말한사람도이모세와아론이었더라
출6:28 여호와께서애굽땅에서모세에게말씀하시던날에
출6:29 여호와께서모세에게말씀하여이르시되나는여호와라내가네게이르는바를너는애굽왕바로에게다말하라
출6:30 모세가여호와앞에서아뢰되나는입이둔한자이오니바로가어찌나의말을들으리이까
출7:1 여호와께서모세에게이르시되볼지어다내가너를바로에게신같이되게하였은즉네형아론은네대언자가되리니
출7:2 내가네게명령한바를너는네형아론에게말하고그는바로에게말하여그에게이스라엘자손을그땅에서내보내게할지니라
출7:3 내가바로의마음을완악하게하고내표징과내이적을애굽땅에서많이행할것이나
출7:4 바로가너희의말을듣지아니할터인즉내가내손을애굽에뻗쳐여러큰심판을내리고내군대,내백성이스라엘자손을그땅에서인도하여낼지라
출7:5 내가내손을애굽위에펴서이스라엘자손을그땅에서인도하여낼때에야애굽사람이나를여호와인줄알리라하시매
출7:6 모세와아론이여호와께서자기들에게명령하신대로행하였더라
출7:7 그들이바로에게말할때에모세는팔십세였고아론은팔십삼세였더라
출7:8 여호와께서모세와아론에게말씀하여이르시되
출7:9 바로가너희에게이르기를너희는이적을보이라하거든너는아론에게말하기를너의지팡이를들어서바로앞에던지라하라그것이뱀이되리라
출7:10 모세와아론이바로에게가서여호와께서명령하신대로행하여아론이바로와그의신하앞에지팡이를던지니뱀이된지라
출7:11 바로도현인들과마술사들을부르매그애굽요술사들도그들의요술로그와같이행하되
출7:12 각사람이지팡이를던지매뱀이되었으나아론의지팡이가그들의지팡이를삼키니라
출7:13 그러나바로의마음이완악하여그들의말을듣지아니하니여호와의말씀과같더라
출7:14 여호와께서모세에게이르시되바로의마음이완강하여백성보내기를거절하는도다
출7:15 아침에너는바로에게로가라보라그가물있는곳으로나오리니너는나일강가에서서그를맞으며그뱀되었던지팡이를손에잡고
출7:16 그에게이르기를히브리사람의하나님여호와께서나를왕에게보내어이르시되내백성을보내라그러면그들이광야에서나를섬길것이니라하였으나이제까지네가듣지아니하도다
출7:17 여호와가이같이이르노니네가이로말미암아나를여호와인줄알리라볼지어다내가내손의지팡이로나일강을치면그것이피로변하고
출7:18 나일강의고기가죽고그물에서는악취가나리니애굽사람들이그강물마시기를싫어하리라하라
출7:19 여호와께서또모세에게이르시되아론에게명령하기를네지팡이를잡고네팔을애굽의물들과강들과운하와못과모든호수위에내밀라하라그것들이피가되리니애굽온땅과나무그릇과돌그릇안에모두피가있으리라
출7:20 모세와아론이여호와께서명령하신대로행하여바로와그의신하의목전에서지팡이를들어나일강을치니그물이다피로변하고
출7:21 나일강의고기가죽고그물에서는악취가나니애굽사람들이나일강물을마시지못하며애굽온땅에는피가있으나
출7:22 애굽요술사들도자기들의요술로그와같이행하므로바로의마음이완악하여그들의말을듣지아니하니여호와의말씀과같더라
출7:23 바로가돌이켜궁으로들어가고그일에관심을가지지도아니하였고
출7:24 애굽사람들은나일강물을마실수없으므로나일강가를두루파서마실물을구하였더라
출7:25 여호와께서나일강을치신후이레가지나니라
출8:1 여호와께서모세에게이르시되너는바로에게가서그에게이르기를여호와의말씀에내백성을보내라그들이나를섬길것이니라
출8:2 네가만일보내기를거절하면내가개구리로너의온땅을치리라
출8:3 개구리가나일강에서무수히생기고올라와서네궁과네침실과네침상위와네신하의집과네백성과네화덕과네떡반죽그릇에들어갈것이며
출8:4 개구리가너와네백성과네모든신하에게기어오르리라하셨다하라
출8:5 여호와께서모세에게이르시되아론에게명령하기를네지팡이를잡고네팔을강들과운하들과못위에펴서개구리들이애굽땅에올라오게하라할지니라
출8:6 아론이애굽물들위에그의손을내밀매개구리가올라와서애굽땅에덮이니
출8:7 요술사들도자기요술대로그와같이행하여개구리가애굽땅에올라오게하였더라
출8:8 바로가모세와아론을불러이르되여호와께구하여나와내백성에게서개구리를떠나게하라내가이백성을보내리니그들이여호와께제사를드릴것이니라
출8:9 모세가바로에게이르되내가왕과왕의신하와왕의백성을위하여이개구리를왕과왕궁에서끊어나일강에만있도록언제간구하는것이좋을는지내게분부하소서
출8:10 그가이르되내일이니라모세가이르되왕의말씀대로하여왕에게우리하나님여호와와같은이가없는줄을알게하리니
출8:11 개구리가왕과왕궁과왕의신하와왕의백성을떠나서나일강에만있으리이다하고
출8:12 모세와아론이바로를떠나나가서바로에게내리신개구리에대하여모세가여호와께간구하매
출8:13 여호와께서모세의말대로하시니개구리가집과마당과밭에서부터나와서죽은지라
출8:14 사람들이모아무더기로쌓으니땅에서악취가나더라
출8:15 그러나바로가숨을쉴수있게됨을보았을때에그의마음을완강하게하여그들의말을듣지아니하였으니여호와께서말씀하신것과같더라
출8:16 여호와께서모세에게이르시되아론에게명령하기를네지팡이를들어땅의티끌을치라하라그것이애굽온땅에서이가되리라
출8:17 그들이그대로행할새아론이지팡이를잡고손을들어땅의티끌을치매애굽온땅의티끌이다이가되어사람과가축에게오르니
출8:18 요술사들도자기요술로그같이행하여이를생기게하려하였으나못하였고이가사람과가축에게생긴지라
출8:19 요술사가바로에게말하되이는하나님의권능이니이다하였으나바로의마음이완악하게되어그들의말을듣지아니하였으니여호와의말씀과같더라
출8:20 여호와께서모세에게이르시되아침에일찍이일어나바로앞에서라그가물있는곳으로나오리니그에게이르기를여호와께서이와같이말씀하시기를내백성을보내라그러면그들이나를섬길것이니라
출8:21 네가만일내백성을보내지아니하면내가너와네신하와네백성과네집들에파리떼를보내리니애굽사람의집집에파리떼가가득할것이며그들이사는땅에도그러하리라
출8:22 그날에나는내백성이거주하는고센땅을구별하여그곳에는파리가없게하리니이로말미암아이땅에서내가여호와인줄을네가알게될것이라
출8:23 내가내백성과네백성사이를구별하리니내일이표징이있으리라하셨다하라하시고
출8:24 여호와께서그와같이하시니무수한파리가바로의궁과그의신하의집과애굽온땅에이르니파리로말미암아그땅이황폐하였더라
출8:25 바로가모세와아론을불러이르되너희는가서이땅에서너희하나님께제사를드리라
출8:26 모세가이르되그리함은부당하니이다우리가우리하나님여호와께제사를드리는것은애굽사람이싫어하는바인즉우리가만일애굽사람의목전에서제사를드리면그들이그것을미워하여우리를돌로치지아니하리이까
출8:27 우리가사흘길쯤광야로들어가서우리하나님여호와께제사를드리되우리에게명령하시는대로하려하나이다
출8:28 바로가이르되내가너희를보내리니너희가너희의하나님여호와께광야에서제사를드릴것이나너무멀리가지는말라그런즉너희는나를위하여간구하라
출8:29 모세가이르되내가왕을떠나가서여호와께간구하리니내일이면파리떼가바로와바로의신하와바로의백성을떠나려니와바로는이백성을보내어여호와께제사를드리는일에다시거짓을행하지마소서하고
출8:30 모세가바로를떠나나와서여호와께간구하니
출8:31 여호와께서모세의말대로하시니그파리떼가바로와그의신하와그의백성에게서떠나니하나도남지아니하였더라
출8:32 그러나바로가이때에도그의마음을완강하게하여그백성을보내지아니하였더라
출9:1 여호와께서모세에게이르시되바로에게들어가서그에게이르라히브리사람의하나님여호와께서말씀하시기를내백성을보내라그들이나를섬길것이니라
출9:2 네가만일보내기를거절하고억지로잡아두면
출9:3 여호와의손이들에있는네가축곧말과나귀와낙타와소와양에게더하리니심한돌림병이있을것이며
출9:4 여호와가이스라엘의가축과애굽의가축을구별하리니이스라엘자손에게속한것은하나도죽지아니하리라하셨다하라하시고
출9:5 여호와께서기한을정하여이르시되여호와가내일이땅에서이일을행하리라하시더니
출9:6 이튿날에여호와께서이일을행하시니애굽의모든가축은죽었으나이스라엘자손의가축은하나도죽지아니한지라
출9:7 바로가사람을보내어본즉이스라엘의가축은하나도죽지아니하였더라그러나바로의마음이완강하여백성을보내지아니하니라
출9:8 여호와께서모세와아론에게이르시되너희는화덕의재두움큼을가지고모세가바로의목전에서하늘을향하여날리라
출9:9 그재가애굽온땅의티끌이되어애굽온땅의사람과짐승에게붙어서악성종기가생기리라
출9:10 그들이화덕의재를가지고바로앞에서서모세가하늘을향하여날리니사람과짐승에게붙어악성종기가생기고
출9:11 요술사들도악성종기로말미암아모세앞에서지못하니악성종기가요술사들로부터애굽모든사람에게생겼음이라
출9:12 그러나여호와께서바로의마음을완악하게하셨으므로그들의말을듣지아니하였으니여호와께서모세에게말씀하심과같더라
출9:13 여호와께서모세에게이르시되아침에일찍이일어나바로앞에서서그에게이르기를히브리사람의하나님여호와의말씀에내백성을보내라그들이나를섬길것이니라
출9:14 내가이번에는모든재앙을너와네신하와네백성에게내려온천하에나와같은자가없음을네가알게하리라
출9:15 내가손을펴서돌림병으로너와네백성을쳤더라면네가세상에서끊어졌을것이나
출9:16 내가너를세웠음은나의능력을네게보이고내이름이온천하에전파되게하려하였음이니라
출9:17 네가여전히내백성앞에교만하여그들을보내지아니하느냐
출9:18 내일이맘때면내가무거운우박을내리리니애굽나라가세워진그날로부터지금까지그와같은일이없었더라
출9:19 이제사람을보내어네가축과네들에있는것을다모으라사람이나짐승이나무릇들에있어서집에돌아오지않는것들에게는우박이그위에내리리니그것들이죽으리라하셨다하라하시니라
출9:20 바로의신하중에여호와의말씀을두려워하는자들은그종들과가축을집으로피하여들였으나
출9:21 여호와의말씀을마음에두지아니하는사람은그의종들과가축을들에그대로두었더라
출9:22 여호와께서모세에게이르시되너는하늘을향하여손을들어애굽전국에우박이애굽땅의사람과짐승과밭의모든채소에내리게하라
출9:23 모세가하늘을향하여지팡이를들매여호와께서우렛소리와우박을보내시고불을내려땅에달리게하시니라여호와께서우박을애굽땅에내리시매
출9:24 우박이내림과불덩이가우박에섞여내림이심히맹렬하니나라가생긴그때로부터애굽온땅에는그와같은일이없었더라
출9:25 우박이애굽온땅에서사람과짐승을막론하고밭에있는모든것을쳤으며우박이또밭의모든채소를치고들의모든나무를꺾었으되
출9:26 이스라엘자손들이있는그곳고센땅에는우박이없었더라
출9:27 바로가사람을보내어모세와아론을불러그들에게이르되이번은내가범죄하였노라여호와는의로우시고나와나의백성은악하도다
출9:28 여호와께구하여이우렛소리와우박을그만그치게하라내가너희를보내리니너희가다시는머물지아니하리라
출9:29 모세가그에게이르되내가성에서나가서곧내손을여호와를향하여펴리니그리하면우렛소리가그치고우박이다시있지아니할지라세상이여호와께속한줄을왕이알리이다
출9:30 그러나왕과왕의신하들이여호와하나님을아직도두려워하지아니할줄을내가아나이다
출9:31 그때에보리는이삭이나왔고삼은꽃이피었으므로삼과보리가상하였으나
출9:32 그러나밀과쌀보리는자라지아니한고로상하지아니하였더라
출9:33 모세가바로를떠나성에서나가여호와를향하여손을펴매우렛소리와우박이그치고비가땅에내리지아니하니라
출9:34 바로가비와우박과우렛소리가그친것을보고다시범죄하여마음을완악하게하니그와그의신하가꼭같더라
출9:35 바로의마음이완악하여이스라엘자손을내보내지아니하였으니여호와께서모세에게말씀하심과같더라
출10:1 여호와께서모세에게이르시되바로에게로들어가라내가그의마음과그의신하들의마음을완강하게함은나의표징을그들중에보이기위함이며
출10:2 네게내가애굽에서행한일들곧내가그들가운데에서행한표징을네아들과네자손의귀에전하기위함이라너희는내가여호와인줄을알리라
